millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
36374, 0.596, -0.348, 0.792, -6.775, 0.549, -1.282, 25.906, -0.627, -0.717, 0.187, 4.578, 1.709, -2.747, 23.426, 0.012, 0.563, -0.889, 9.949, 1.343, 5.615, 21.120, 24.050, 20.650
36406, 0.617, -0.345, 0.778, -1.404, 1.099, -0.916, 25.909, -0.651, -0.728, 0.194, 0.427, 3.174, -1.160, 23.420, -0.010, 0.560, -0.884, 14.648, 8.606, -2.869, 21.120, 24.050, 20.630
36441, 0.620, -0.311, 0.771, -3.113, 4.150, -2.869, 25.900, -0.650, -0.724, 0.156, 2.380, 1.648, -2.991, 23.456, -0.050, 0.542, -0.865, 11.963, 4.272, -12.024, 21.129, 24.050, 20.630
36473, 0.621, -0.326, 0.780, -4.700, 5.798, -4.150, 25.921, -0.658, -0.742, 0.158, -0.854, 4.822, -2.258, 23.462, -0.059, 0.550, -0.889, 12.451, 2.502, 2.441, 21.120, 24.030, 20.630
36505, 0.630, -0.315, 0.782, -6.775, 10.620, -6.653, 25.921, -0.635, -0.729, 0.160, -1.892, 5.798, -2.197, 23.423, 0.014, 0.543, -0.850, 17.822, 7.446, -1.038, 21.120, 24.030, 20.650
36539, 0.630, -0.341, 0.799, -10.315, 10.071, -7.996, 25.909, -0.626, -0.739, 0.187, -8.728, 6.531, 8.484, 23.459, 0.032, 0.572, -0.922, 20.691, 8.789, -20.203, 21.129, 24.030, 20.650
36571, 0.572, -0.374, 0.810, -8.972, 12.695, -9.827, 25.903, -0.591, -0.739, 0.174, -26.062, 5.310, 24.353, 23.435, 0.033, 0.564, -0.968, 4.456, 17.761, -49.866, 21.141, 24.030, 20.650
36604, 0.572, -0.388, 0.837, -4.211, 9.460, -9.827, 25.900, -0.632, -0.748, 0.141, -69.092, 22.400, 29.236, 23.441, 0.017, 0.523, -0.972, -2.930, 5.127, -62.622, 21.105, 24.030, 20.630
36638, 0.592, -0.419, 0.813, 2.502, 7.141, -13.916, 25.900, -0.608, -0.780, 0.231, -114.075, 36.011, 50.659, 23.432, -0.074, 0.497, -0.992, -2.686, 15.503, -59.753, 21.120, 24.030, 20.630
36670, 0.613, -0.376, 0.829, 4.089, 7.812, -16.479, 25.900, -0.861, -0.683, -0.292, -91.980, 43.274, 9.583, 23.438, -0.128, 0.521, -0.940, -4.211, 17.273, -25.879, 21.132, 23.970, 20.630
36702, 0.666, -0.325, 0.833, -0.183, 10.681, -15.076, 25.924, -0.838, -0.895, 0.000, 91.187, 38.269, -86.121, 23.444, -0.163, 0.540, -0.883, 2.075, 16.418, -14.526, 21.102, 23.970, 20.650
36736, 0.648, -0.326, 0.817, -2.930, 11.292, -14.099, 25.894, -0.741, -0.678, 0.046, 112.122, 39.185, -81.543, 23.435, -0.156, 0.552, -0.911, 3.479, 2.502, -2.014, 21.102, 23.970, 20.650
36769, 0.634, -0.322, 0.816, -6.470, 13.672, -12.817, 25.888, -0.678, -0.744, 0.307, 60.730, 19.714, -52.368, 23.447, -0.101, 0.556, -0.905, 1.404, -2.502, 5.798, 21.117, 24.030, 20.650
36804, 0.601, -0.316, 0.820, -3.296, 10.620, -12.207, 25.906, -0.617, -0.736, 0.058, -24.475, 20.325, 2.258, 23.444, -0.086, 0.549, -0.892, 0.610, -1.953, 18.127, 21.102, 24.030, 20.630
36837, 0.578, -0.312, 0.829, -1.038, 8.362, -10.620, 25.921, -0.630, -0.800, 0.072, -0.488, 9.705, 3.479, 23.429, 0.011, 0.559, -0.886, 1.648, -4.578, 17.334, 21.114, 24.030, 20.630
36870, 0.565, -0.319, 0.822, 1.038, 4.456, -9.827, 25.909, -0.617, -0.787, 0.027, -1.953, 12.207, -1.526, 23.450, -0.020, 0.551, -0.876, 1.038, 2.014, 3.601, 21.135, 23.970, 20.630
36905, 0.580, -0.279, 0.819, 0.977, 3.479, -8.423, 25.912, -0.626, -0.732, 0.042, 2.808, 8.667, 2.808, 23.450, -0.067, 0.534, -0.832, 4.089, 4.944, 3.174, 21.132, 23.970, 20.650
36938, 0.565, -0.288, 0.797, -0.122, 0.610, -7.751, 25.897, -0.596, -0.729, 0.054, -4.211, 8.545, 12.451, 23.444, -0.074, 0.536, -0.872, 7.629, 1.892, 16.418, 21.126, 23.970, 20.650
36971, 0.546, -0.288, 0.808, -0.916, -1.160, -8.118, 25.924, -0.594, -0.713, 0.040, -20.386, 8.179, 35.095, 23.441, -0.030, 0.543, -0.854, 5.615, -5.127, 32.898, 21.120, 24.030, 20.650
37006, 0.550, -0.271, 0.805, 0.977, -4.150, -10.010, 25.894, -0.608, -0.718, 0.016, -31.006, 3.113, 59.143, 23.435, -0.004, 0.562, -0.837, 3.784, -8.911, 20.996, 21.132, 24.030, 20.670
37039, 0.573, -0.250, 0.803, 2.747, -4.822, -9.277, 25.909, -0.702, -0.733, -0.064, -7.751, -0.549, 44.495, 23.450, -0.030, 0.558, -0.834, 3.174, -10.132, 20.142, 21.126, 23.990, 20.670
37072, 0.580, -0.243, 0.791, 1.892, -5.127, -7.141, 25.912, -0.675, -0.689, 0.018, 17.456, -10.254, 30.884, 23.435, -0.020, 0.562, -0.808, 5.127, -10.071, 25.208, 21.135, 23.990, 20.670
37107, 0.608, -0.219, 0.797, -0.732, -3.235, -5.981, 25.939, -0.730, -0.639, -0.087, -4.517, -3.845, 21.790, 23.453, -0.008, 0.587, -0.805, 10.437, -4.395, 18.860, 21.129, 23.990, 20.610
37140, 0.610, -0.235, 0.798, -3.784, -2.319, -2.563, 25.918, -0.742, -0.669, 0.018, 39.734, -12.573, -3.052, 23.438, -0.034, 0.571, -0.834, 9.583, 1.038, 8.545, 21.114, 23.930, 20.610
37175, 0.595, -0.259, 0.797, -3.906, -2.502, -1.160, 25.918, -0.693, -0.667, 0.008, 15.991, -1.770, -10.254, 23.453, -0.044, 0.566, -0.859, 8.484, -2.502, 22.156, 21.129, 23.930, 20.610
37208, 0.632, -0.263, 0.798, -2.686, -1.953, -0.610, 25.903, -0.713, -0.675, 0.050, 19.653, -3.418, -9.705, 23.435, -0.001, 0.586, -0.836, 5.249, -2.625, 20.691, 21.132, 23.930, 20.630
37241, 0.623, -0.260, 0.790, -2.075, 0.183, -1.648, 25.912, -0.719, -0.684, 0.054, 6.836, 0.000, -3.052, 23.453, -0.054, 0.572, -0.847, 8.911, 2.747, 8.240, 21.135, 23.990, 20.630
37276, 0.629, -0.266, 0.802, -4.272, 1.709, -0.061, 25.921, -0.715, -0.691, 0.061, 12.756, -0.610, -8.057, 23.441, -0.067, 0.570, -0.865, 8.118, -4.456, 18.372, 21.126, 23.990, 20.670
37309, 0.620, -0.255, 0.804, -4.822, 5.066, 0.000, 25.939, -0.715, -0.708, 0.063, 3.784, 0.244, -3.296, 23.444, -0.044, 0.565, -0.861, 9.399, -3.235, 25.146, 21.126, 23.990, 20.670
37342, 0.604, -0.305, 0.816, -5.676, 2.930, 1.343, 25.912, -0.680, -0.712, 0.079, 10.925, -0.854, -3.174, 23.426, -0.003, 0.556, -0.889, 10.803, -10.254, 32.410, 21.126, 24.050, 20.670
37377, 0.604, -0.322, 0.815, -4.456, 3.540, -1.770, 25.915, -0.688, -0.713, 0.101, 4.333, 1.038, 0.183, 23.432, 0.049, 0.583, -0.923, 8.240, -3.540, 20.020, 21.108, 24.050, 20.670
37409, 0.624, -0.312, 0.825, -1.160, 1.160, -1.282, 25.924, -0.697, -0.704, 0.089, -1.221, 1.770, 1.465, 23.450, 0.002, 0.584, -0.912, 4.333, 6.165, 3.418, 21.102, 24.050, 20.670
37441, 0.636, -0.279, 0.807, 1.831, 0.793, -3.418, 25.903, -0.741, -0.689, 0.046, 2.869, 6.653, -3.052, 23.435, -0.026, 0.593, -0.879, 1.465, 2.258, 3.540, 21.132, 23.990, 20.670
37476, 0.664, -0.258, 0.812, 1.465, 1.160, -4.517, 25.924, -0.730, -0.689, 0.066, 0.916, 4.456, 7.690, 23.441, 0.081, 0.620, -0.854, 13.489, -6.165, -6.897, 21.123, 23.990, 20.670
37509, 0.620, -0.250, 0.795, 2.930, 2.258, -5.188, 25.918, -0.745, -0.692, 0.069, -6.042, 4.822, 6.653, 23.441, 0.024, 0.610, -0.835, 2.136, 18.005, -55.115, 21.132, 23.990, 20.670
37542, 0.634, -0.256, 0.810, -1.465, 3.235, 1.282, 25.924, -0.739, -0.698, 0.012, -1.282, 6.653, -9.338, 23.423, -0.155, 0.533, -0.860, 11.230, 22.034, -53.894, 21.123, 23.990, 20.670
37577, 0.618, -0.271, 0.811, -3.174, 3.235, -2.625, 25.921, -0.698, -0.691, 0.093, 14.587, 6.042, -14.526, 23.441, -0.129, 0.551, -0.883, 10.010, -1.770, 5.859, 21.132, 23.990, 20.630
37610, 0.611, -0.279, 0.813, -4.211, 2.319, -0.671, 25.924, -0.677, -0.705, 0.073, 6.226, 1.465, -2.869, 23.429, -0.009, 0.580, -0.884, 6.104, -0.977, 15.015, 21.141, 23.990, 20.630
37645, 0.611, -0.281, 0.809, -2.136, 0.122, -1.465, 25.912, -0.707, -0.708, 0.060, 1.343, 3.174, 0.000, 23.435, -0.019, 0.577, -0.870, 4.700, 0.305, -3.113, 21.129, 23.970, 20.630
37678, 0.632, -0.254, 0.794, -3.296, 1.099, -0.793, 25.909, -0.715, -0.696, 0.061, 10.803, 3.052, -5.066, 23.408, -0.101, 0.554, -0.854, 6.165, 5.310, 2.747, 21.120, 23.970, 20.650
37711, 0.625, -0.261, 0.786, -3.784, 0.610, -2.502, 25.909, -0.696, -0.690, 0.064, 11.292, 3.479, -8.789, 23.435, -0.113, 0.551, -0.859, 10.803, 5.371, 29.419, 21.129, 23.970, 20.650
37746, 0.619, -0.241, 0.794, -6.226, 2.869, -2.441, 25.930, -0.689, -0.699, 0.048, 10.559, 4.150, -9.460, 23.444, -0.073, 0.556, -0.821, 9.827, -4.211, 44.373, 21.117, 23.990, 20.650
37779, 0.606, -0.273, 0.788, -8.240, 3.113, -2.625, 25.945, -0.693, -0.715, 0.082, 19.104, 3.296, -17.212, 23.429, -0.028, 0.557, -0.886, 9.460, -16.724, 51.270, 21.117, 23.990, 20.650
37812, 0.583, -0.286, 0.800, -9.094, 3.906, -1.404, 25.909, -0.648, -0.696, 0.097, 10.254, 0.549, -3.662, 23.435, 0.021, 0.550, -0.868, 0.427, -23.621, 48.767, 21.114, 23.990, 20.650
37847, 0.606, -0.283, 0.812, -5.920, 1.465, -0.183, 25.915, -0.665, -0.704, 0.088, 7.690, -1.282, 5.371, 23.420, 0.067, 0.583, -0.859, 1.526, -20.508, 46.387, 21.138, 23.970, 20.650
37880, 0.622, -0.268, 0.792, -3.174, 0.916, -0.732, 25.933, -0.695, -0.710, 0.063, 0.671, 1.099, 4.333, 23.435, 0.041, 0.591, -0.828, 6.531, -7.202, 25.635, 21.123, 23.970, 20.650
