millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
51879, 0.967, -0.215, 0.266, -3.723, -0.916, 2.808, 26.346, -0.401, -0.663, 0.585, 1.709, -2.197, 4.700, 24.118, -0.592, 0.755, -0.220, 12.024, -15.015, -6.165, 22.156, 26.870, 20.610
51914, 0.976, -0.230, 0.257, -3.662, -0.732, 3.357, 26.328, -0.389, -0.645, 0.599, 1.709, -2.258, 6.409, 24.130, -0.609, 0.745, -0.206, 13.489, -19.775, -7.324, 22.117, 26.770, 20.610
51947, 0.982, -0.242, 0.258, -2.991, -0.732, 3.662, 26.379, -0.382, -0.655, 0.620, -4.333, -1.404, 11.230, 24.106, -0.652, 0.770, -0.209, 18.860, -33.081, -11.780, 22.141, 26.770, 20.630
51980, 0.990, -0.259, 0.251, -2.258, -1.099, 2.686, 26.370, -0.393, -0.680, 0.633, -6.348, -2.869, 15.991, 24.097, -0.680, 0.782, -0.235, 22.278, -31.982, -10.376, 22.126, 26.770, 20.630
52015, 1.001, -0.260, 0.246, -0.488, -0.610, -0.183, 26.349, -0.399, -0.686, 0.621, -3.784, -1.770, 11.719, 24.097, -0.619, 0.757, -0.225, 8.362, -20.020, -19.226, 22.138, 26.270, 20.630
52048, 0.997, -0.261, 0.253, -2.502, 0.610, 0.061, 26.382, -0.400, -0.683, 0.608, -1.709, -1.038, 11.719, 24.112, -0.646, 0.752, -0.229, -0.732, -12.268, -17.822, 22.138, 26.270, 20.630
52081, 0.986, -0.274, 0.253, -1.831, 0.488, -0.366, 26.352, -0.388, -0.665, 0.621, -0.183, 1.160, 12.756, 24.109, -0.654, 0.756, -0.252, 6.470, -2.686, -9.460, 22.120, 26.270, 20.630
52116, 0.984, -0.262, 0.251, 1.526, 0.122, -2.625, 26.358, -0.405, -0.661, 0.609, -2.686, 0.122, 18.066, 24.085, -0.654, 0.736, -0.226, 1.221, 0.366, -2.991, 22.135, 25.630, 20.630
52149, 0.970, -0.242, 0.250, 2.869, -0.061, -2.869, 26.334, -0.411, -0.652, 0.593, -2.625, 1.343, 21.423, 24.103, -0.652, 0.733, -0.206, 0.671, 3.479, 0.122, 22.129, 25.630, 20.610
52184, 0.976, -0.226, 0.256, 3.662, -0.854, -2.747, 26.343, -0.439, -0.646, 0.585, -5.737, 0.488, 26.611, 24.091, -0.645, 0.734, -0.171, 2.747, 3.174, 0.122, 22.144, 25.430, 20.610
52217, 0.960, -0.207, 0.254, 3.967, -1.160, -2.197, 26.346, -0.466, -0.615, 0.576, -3.723, -0.793, 29.724, 24.106, -0.626, 0.719, -0.145, 5.859, 2.991, -3.601, 22.123, 25.430, 20.610
52250, 0.955, -0.203, 0.255, 3.174, -2.380, 0.061, 26.367, -0.464, -0.608, 0.568, -6.775, -3.174, 36.682, 24.085, -0.623, 0.726, -0.168, 13.123, 3.662, -2.991, 22.123, 25.430, 20.650
52285, 0.930, -0.206, 0.254, 4.517, -9.399, 2.258, 26.349, -0.476, -0.609, 0.555, -9.827, -5.554, 41.626, 24.088, -0.595, 0.710, -0.187, 17.090, -3.052, -6.714, 22.123, 25.290, 20.650
52318, 0.965, -0.218, 0.264, 3.052, -9.399, 3.967, 26.361, -0.503, -0.634, 0.568, -14.893, -8.606, 37.720, 24.091, -0.606, 0.718, -0.225, 27.893, -1.709, -8.972, 22.141, 25.290, 20.650
52351, 0.975, -0.211, 0.252, 2.075, -4.272, 2.930, 26.349, -0.522, -0.664, 0.567, -17.639, -10.559, 24.719, 24.094, -0.612, 0.730, -0.224, 20.447, -5.188, -13.794, 22.138, 25.290, 20.610
52386, 0.976, -0.231, 0.245, 0.671, -2.075, 3.174, 26.370, -0.487, -0.626, 0.552, -8.118, -9.705, 13.489, 24.106, -0.683, 0.700, -0.181, 20.813, -5.920, -12.512, 22.141, 25.010, 20.610
52419, 0.986, -0.237, 0.229, 1.282, -0.977, 2.380, 26.334, -0.497, -0.629, 0.574, 1.282, -5.127, 5.737, 24.100, -0.650, 0.691, -0.187, 34.119, -9.888, -15.930, 22.132, 25.010, 20.630
52452, 0.989, -0.223, 0.226, 1.282, -0.488, 2.014, 26.376, -0.510, -0.618, 0.598, 4.700, -3.967, 2.075, 24.088, -0.670, 0.694, -0.213, 32.593, -10.620, -18.005, 22.141, 25.010, 20.630
52487, 0.986, -0.212, 0.226, 1.343, 0.793, 2.380, 26.364, -0.523, -0.593, 0.585, 2.991, -4.028, -0.671, 24.109, -0.664, 0.705, -0.248, 11.658, 0.000, -7.996, 22.141, 24.750, 20.630
52520, 0.975, -0.229, 0.237, 2.502, 0.366, 4.639, 26.355, -0.507, -0.608, 0.585, -0.610, -4.944, -3.296, 24.115, -0.651, 0.705, -0.233, 2.136, 5.005, -4.822, 22.123, 24.750, 20.630
52553, 0.988, -0.229, 0.218, 3.967, 0.854, 4.578, 26.379, -0.489, -0.603, 0.584, 0.732, -5.859, -4.395, 24.094, -0.672, 0.704, -0.237, -1.221, 4.822, -7.141, 22.123, 24.750, 20.630
52588, 0.970, -0.250, 0.243, 5.981, 0.549, 4.089, 26.355, -0.487, -0.617, 0.586, -3.113, -5.249, -0.732, 24.112, -0.667, 0.674, -0.234, -15.015, 8.789, -1.038, 22.129, 24.750, 20.630
52621, 0.968, -0.239, 0.240, 8.240, -0.122, 4.822, 26.343, -0.484, -0.616, 0.581, -5.005, -6.165, 1.709, 24.088, -0.666, 0.703, -0.223, -17.944, 9.033, 2.258, 22.138, 24.750, 20.630
52656, 0.982, -0.252, 0.229, 7.874, -0.732, 4.272, 26.349, -0.484, -0.618, 0.583, -3.784, -5.493, 4.333, 24.121, -0.724, 0.694, -0.237, -9.827, 16.052, 5.554, 22.132, 24.750, 20.630
52689, 0.971, -0.259, 0.241, 10.681, 0.854, 2.686, 26.367, -0.477, -0.622, 0.589, -3.235, -4.639, 2.563, 24.133, -0.739, 0.704, -0.214, -16.174, 25.330, 35.889, 22.114, 25.230, 20.630
52722, 0.970, -0.237, 0.237, 12.939, -0.366, 0.977, 26.352, -0.489, -0.623, 0.580, -3.723, -5.432, 1.282, 24.121, -0.694, 0.703, -0.180, -18.066, 34.912, 35.095, 22.135, 25.230, 20.630
52757, 0.980, -0.227, 0.232, 11.841, -1.282, -0.793, 26.364, -0.488, -0.622, 0.578, -3.357, -5.493, -3.357, 24.115, -0.692, 0.717, -0.153, -30.151, 37.903, 25.269, 22.132, 25.230, 20.630
52790, 0.980, -0.213, 0.249, 9.216, -0.183, 1.526, 26.340, -0.484, -0.629, 0.569, -2.441, -2.136, -4.211, 24.112, -0.716, 0.694, -0.059, -55.054, 61.157, -11.047, 22.129, 26.090, 20.630
52823, 0.956, -0.224, 0.236, 9.399, -0.671, -1.160, 26.346, -0.486, -0.626, 0.577, -1.709, -6.348, -5.737, 24.106, -0.599, 0.757, -0.211, -1.404, 13.855, 14.832, 22.114, 26.090, 20.630
52865, 0.977, -0.213, 0.233, 6.592, -0.671, -0.244, 26.343, -0.465, -0.637, 0.560, -5.981, -6.470, -4.395, 24.124, -0.613, 0.733, -0.171, -3.113, 14.343, 5.493, 22.111, 26.090, 20.630
52897, 0.969, -0.224, 0.237, 4.517, -0.671, 0.122, 26.364, -0.461, -0.635, 0.577, -3.052, -4.395, 1.221, 24.118, -0.620, 0.744, -0.204, -0.183, 12.268, 5.188, 22.123, 26.210, 20.630
52929, 0.968, -0.240, 0.239, 4.639, -0.549, -0.732, 26.361, -0.473, -0.639, 0.584, -2.686, -5.188, -1.282, 24.115, -0.646, 0.736, -0.210, -4.761, 14.954, 3.174, 22.129, 26.210, 20.630
