millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
160718, 0.235, 0.035, 0.583, 35.156, -3.357, 26.917, 23.866, 0.029, -0.506, -0.323, 33.081, -50.781, 3.906, 21.797, 0.173, 0.547, -0.508, -18.982, 29.968, -7.080, 19.712, 24.470, 17.390
160752, 0.367, 0.130, 0.324, 43.274, -14.404, 12.573, 23.902, -0.101, -0.425, -0.100, 36.804, -35.339, 30.151, 21.785, -0.021, 0.416, -0.231, -57.373, 36.987, -56.946, 19.700, 24.470, 17.390
160788, 0.502, 0.169, 0.161, 35.278, -8.362, 10.864, 23.887, -0.116, -0.457, 0.097, 10.620, -30.579, 3.845, 21.803, -0.220, 0.420, 0.020, -57.556, 48.035, -70.679, 19.724, 24.470, 17.370
160822, 0.468, 0.107, 0.331, 17.944, -7.996, 7.874, 23.875, -0.046, -0.481, -0.044, 2.686, -14.587, -1.709, 21.797, -0.148, 0.428, -0.209, 0.122, 5.676, -20.691, 19.715, 24.390, 17.370
160858, 0.419, 0.118, 0.477, 12.756, -16.907, 5.188, 23.866, -0.065, -0.597, -0.150, 6.104, -22.583, 10.132, 21.800, 0.000, 0.568, -0.371, 55.908, -36.865, 67.078, 19.724, 24.390, 17.450
160892, 0.446, 0.182, 0.495, 13.367, -25.574, 4.089, 23.884, -0.118, -0.663, -0.196, 21.179, -13.672, 19.897, 21.794, 0.154, 0.662, -0.440, -5.310, -7.446, -16.663, 19.703, 24.390, 17.450
160927, 0.564, 0.222, 0.302, 8.850, -30.762, 4.578, 23.872, -0.202, -0.601, -0.001, 40.344, -0.549, 17.456, 21.788, -0.273, 0.601, -0.118, -65.369, 17.517, -85.876, 19.715, 24.450, 17.450
160963, 0.889, 0.326, -0.023, -2.258, -19.409, 0.427, 23.860, -0.472, -0.657, 0.530, 46.326, 32.288, 18.494, 21.788, -0.604, 0.818, 0.311, -31.921, -17.883, -43.213, 19.703, 24.450, 17.390
160997, 1.455, 0.655, 0.037, 10.620, -31.921, -16.174, 23.899, -0.825, -1.166, 0.576, 1.404, 24.658, 15.747, 21.782, -0.647, 1.324, 0.349, 68.481, -78.796, 20.752, 19.736, 24.450, 17.390
161031, 1.758, 0.762, 0.382, -39.490, -22.278, 10.315, 23.863, -0.769, -1.766, 0.492, 0.427, 0.000, -12.329, 21.806, -0.970, 1.572, -0.240, 91.553, -33.325, -5.554, 19.694, 23.710, 17.390
161067, 1.953, 0.284, 0.201, -82.764, -4.578, 15.747, 23.869, -0.429, -1.586, 0.857, 65.613, 59.509, -54.077, 21.806, -1.193, 1.579, -0.416, 49.377, -58.105, -12.939, 19.712, 23.710, 17.370
161101, 1.870, -0.018, 0.112, -83.496, 11.841, -5.432, 23.875, -0.272, -1.157, 1.052, 29.541, 63.538, -36.987, 21.794, -0.989, 1.367, -0.454, 35.278, -37.781, 22.644, 19.718, 23.710, 17.370
161137, 1.596, 0.167, 0.275, -36.072, 22.583, -37.048, 23.887, -0.445, -1.216, 0.755, -35.034, 45.166, -4.822, 21.770, -0.739, 1.317, -0.296, 15.808, -17.883, 39.917, 19.685, 23.150, 17.370
161171, 1.384, 0.362, 0.305, -24.475, 19.958, -38.208, 23.881, -0.469, -1.283, 0.466, -36.072, 42.175, 3.052, 21.803, -0.651, 1.207, -0.203, 14.709, -10.010, 35.645, 19.715, 23.150, 17.370
161205, 1.296, 0.326, 0.338, -36.987, 22.278, -30.701, 23.884, -0.384, -1.174, 0.374, -22.034, 42.053, -7.568, 21.791, -0.563, 1.124, -0.276, 31.494, -9.277, 45.715, 19.697, 23.150, 17.370
161241, 1.082, 0.263, 0.396, -41.443, 29.785, -31.311, 23.890, -0.326, -1.027, 0.230, -28.137, 58.289, -3.601, 21.800, -0.360, 0.981, -0.347, 45.959, -16.541, 56.519, 19.712, 23.710, 17.370
161276, 0.863, 0.191, 0.380, -42.053, 29.602, -26.428, 23.881, -0.247, -0.880, 0.181, -24.841, 50.598, -13.367, 21.836, -0.203, 0.783, -0.352, 18.555, -9.766, 42.297, 19.733, 23.710, 17.390
161310, 0.728, 0.056, 0.497, -39.917, 23.804, -20.935, 23.899, -0.058, -0.765, 0.029, -33.264, 37.720, -16.724, 21.788, -0.009, 0.704, -0.458, 10.376, -6.042, 50.903, 19.706, 23.710, 17.390
