millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
16786, 0.787, 0.280, 0.633, -2.686, -3.601, -10.864, 24.406, -0.126, -0.958, 0.104, 1.465, 10.681, 6.226, 22.150, -0.265, 0.767, -0.645, -1.709, -2.502, 2.625, 20.074, 24.350, 18.570
16821, 0.778, 0.314, 0.620, -1.526, -4.639, -12.451, 24.412, -0.169, -0.950, 0.082, -0.549, 10.132, 9.705, 22.171, -0.245, 0.785, -0.592, 1.160, -13.855, 12.756, 20.083, 24.350, 18.570
16854, 0.770, 0.341, 0.621, -2.625, -4.578, -11.902, 24.406, -0.197, -0.976, 0.057, 1.953, 11.414, 8.911, 22.165, -0.238, 0.790, -0.594, -0.671, -5.554, 5.005, 20.092, 24.350, 18.590
16887, 0.778, 0.346, 0.604, -4.395, -5.310, -10.132, 24.403, -0.210, -0.964, 0.099, 4.150, 12.268, 5.371, 22.162, -0.242, 0.785, -0.545, 0.916, -6.958, 2.136, 20.089, 24.350, 18.590
16922, 0.780, 0.345, 0.613, -4.517, -5.005, -7.874, 24.382, -0.206, -0.965, 0.086, 1.770, 9.155, 4.944, 22.159, -0.265, 0.780, -0.578, 8.667, -7.385, 9.277, 20.092, 24.350, 18.590
16955, 0.775, 0.332, 0.625, -5.920, -5.127, -5.310, 24.429, -0.195, -0.961, 0.070, 0.671, 7.568, 4.639, 22.171, -0.204, 0.802, -0.591, 12.634, -9.460, 8.240, 20.092, 24.350, 18.590
16988, 0.771, 0.343, 0.611, -5.493, -5.981, -5.005, 24.400, -0.213, -0.970, 0.074, 8.667, 9.399, 7.751, 22.171, -0.262, 0.791, -0.584, 6.897, -0.793, -4.700, 20.089, 24.350, 18.590
17023, 0.787, 0.337, 0.593, -5.493, -7.507, -2.136, 24.406, -0.220, -0.937, 0.119, -0.244, 4.333, 8.240, 22.153, -0.258, 0.781, -0.572, 12.451, -6.287, 5.737, 20.080, 24.330, 18.590
17056, 0.778, 0.297, 0.624, -6.714, -6.836, 1.587, 24.403, -0.174, -0.973, 0.039, -13.489, -2.380, 12.451, 22.168, -0.225, 0.801, -0.621, 14.282, 0.366, 9.033, 20.095, 24.330, 18.590
17091, 0.805, 0.337, 0.584, -6.348, -5.798, 1.282, 24.406, -0.203, -0.948, 0.116, 5.798, 5.127, 6.348, 22.180, -0.255, 0.778, -0.584, 9.766, 1.160, -3.235, 20.089, 24.330, 18.590
17124, 0.782, 0.300, 0.599, -8.179, -6.287, 1.953, 24.415, -0.191, -0.927, 0.101, -4.272, -9.094, 18.921, 22.174, -0.273, 0.764, -0.603, 16.174, 1.465, 7.568, 20.089, 24.330, 18.590
17157, 0.783, 0.305, 0.604, -6.958, -6.287, 4.272, 24.394, -0.244, -0.964, 0.060, -15.991, -9.399, 20.630, 22.168, -0.214, 0.774, -0.615, 16.785, -0.061, 4.700, 20.098, 24.330, 18.590
17192, 0.787, 0.276, 0.577, -5.554, -6.409, 4.639, 24.403, -0.155, -0.867, 0.198, -18.982, -27.283, 44.800, 22.177, -0.271, 0.761, -0.570, 17.822, -4.883, -0.122, 20.077, 24.270, 18.590
17225, 0.824, 0.263, 0.526, -0.977, 0.061, 2.014, 24.403, -0.327, -0.812, 0.088, -60.913, -41.931, 68.726, 22.165, -0.236, 0.763, -0.683, 28.748, -5.920, 7.996, 20.077, 24.270, 18.590
17257, 0.726, 0.394, 0.713, 3.113, 0.427, 4.883, 24.406, -0.482, -1.226, -0.371, -35.889, 14.709, 41.565, 22.171, -0.188, 0.778, -0.672, 10.193, 2.625, 8.789, 20.089, 24.270, 18.590
17292, 0.811, 0.292, 0.589, -9.827, 3.052, 1.404, 24.388, -0.222, -0.926, 0.039, 60.547, 47.485, -43.518, 22.171, -0.271, 0.768, -0.555, -2.197, 7.629, -21.179, 20.086, 24.210, 18.590
17325, 0.783, 0.313, 0.595, -7.385, -2.380, 2.869, 24.409, -0.280, -0.853, 0.179, 1.831, 13.306, -2.563, 22.159, -0.262, 0.778, -0.601, 18.494, 1.221, 13.672, 20.101, 24.210, 18.630
17358, 0.788, 0.318, 0.557, -5.066, -2.319, 5.066, 24.382, -0.303, -0.854, 0.103, -35.400, -16.724, 29.724, 22.177, -0.244, 0.782, -0.565, 11.169, 1.648, -2.686, 20.086, 24.210, 18.630
17393, 0.801, 0.289, 0.556, 1.099, -6.714, 4.761, 24.388, -0.415, -0.780, 0.155, -81.055, -48.645, 51.025, 22.165, -0.260, 0.772, -0.584, 26.550, -9.521, 2.197, 20.110, 24.170, 18.630
17426, 0.809, 0.337, 0.631, 1.770, -4.578, 8.484, 24.406, -0.433, -1.150, -0.276, -65.796, -29.175, 35.767, 22.168, -0.232, 0.776, -0.675, 18.188, 4.272, 1.038, 20.074, 24.170, 18.570
17461, 0.826, 0.329, 0.604, -2.991, -5.371, 11.414, 24.417, -0.357, -1.058, -0.272, 19.531, 0.183, -14.709, 22.156, -0.292, 0.762, -0.613, 2.319, -0.977, -10.559, 20.113, 24.170, 18.570
17494, 0.832, 0.266, 0.596, -8.057, -7.568, 9.583, 24.429, -0.301, -0.936, -0.001, 25.024, 11.353, -18.677, 22.177, -0.289, 0.761, -0.627, 17.151, 2.869, -4.883, 20.101, 24.090, 18.570
