millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
313869, 0.445, 0.030, 0.510, -7.629, 19.287, -5.920, 23.561, -0.555, -0.421, 0.007, 8.423, 29.297, 13.123, 22.174, 0.437, 0.478, -0.306, 14.465, -44.739, 9.399, 21.344, 19.290, 18.210
313902, 0.307, 0.065, 0.506, -6.226, -2.869, -4.456, 23.552, -0.493, -0.385, -0.052, 15.991, -3.113, -2.930, 22.180, 0.393, 0.400, -0.308, 6.165, -39.124, -37.170, 21.335, 19.350, 18.210
313937, 0.387, -0.090, 0.338, -2.075, -24.841, 5.371, 23.582, -0.296, -0.367, 0.119, 30.701, -27.161, -19.165, 22.195, 0.187, 0.398, -0.340, 4.517, 9.583, -30.518, 21.344, 19.350, 18.210
313970, 0.484, -0.124, 0.204, 5.859, -34.546, 9.460, 23.546, -0.244, -0.344, 0.224, 28.931, -33.203, -7.141, 22.180, 0.014, 0.445, -0.327, -2.869, 13.062, -45.715, 21.368, 19.350, 18.210
314003, 0.490, -0.083, 0.192, 3.662, -43.030, 4.761, 23.543, -0.276, -0.416, 0.233, 24.353, -41.870, 11.963, 22.183, -0.108, 0.455, -0.297, -3.723, 12.390, -47.485, 21.344, 19.350, 18.210
314039, 0.724, -0.263, 0.088, -5.920, -48.706, 13.855, 23.558, -0.298, -0.517, 0.476, 37.842, -42.786, 8.240, 22.171, -0.348, 0.669, -0.420, 8.301, 21.057, -48.279, 21.329, 19.350, 18.190
314072, 1.061, -0.290, 0.077, -17.761, -36.926, 27.710, 23.567, -0.478, -0.748, 0.763, 50.537, -32.532, 3.174, 22.192, -0.360, 0.887, -0.570, 13.611, -9.277, -66.772, 21.335, 19.350, 18.190
314107, 1.226, -0.514, -0.017, -12.573, -15.991, 18.799, 23.549, -0.364, -0.588, 0.987, 17.395, -37.354, -18.799, 22.174, -0.460, 0.989, -0.684, 19.531, 2.502, -24.719, 21.338, 19.330, 18.190
314140, 1.418, -0.463, 0.164, -3.906, -10.498, 38.757, 23.561, -0.432, -0.941, 1.008, -21.545, -26.733, 35.583, 22.168, -0.441, 1.182, -0.812, 12.573, 13.550, -26.123, 21.309, 19.330, 18.190
314173, 1.512, -0.717, 0.188, -0.061, -6.653, 34.241, 23.576, -0.611, -1.057, 1.122, -13.428, -43.213, 72.144, 22.162, -0.435, 1.313, -1.083, 23.010, 3.906, -4.883, 21.335, 19.330, 18.190
314209, 1.658, -0.681, 0.050, 36.743, -1.953, 5.249, 23.558, -0.636, -0.871, 1.271, -13.977, -21.240, 8.545, 22.156, -0.458, 1.405, -0.901, 2.258, 39.001, -14.526, 21.326, 19.290, 18.190
314242, 1.577, -0.341, 0.068, 51.941, 3.723, -2.441, 23.570, -0.711, -0.750, 1.117, -41.199, -9.338, 4.517, 22.159, -0.493, 1.265, -0.619, -26.733, 25.757, -11.108, 21.326, 19.290, 18.190
314275, 1.449, -0.236, 0.123, 44.312, 11.902, 11.780, 23.579, -0.775, -0.761, 0.963, -75.867, -15.320, 16.052, 22.156, -0.549, 1.123, -0.454, 1.648, 64.148, -18.494, 21.320, 19.290, 18.190
314310, 1.240, -0.320, 0.129, 25.757, 26.306, 26.001, 23.561, -0.542, -0.826, 0.717, -64.514, -6.897, -8.179, 22.165, -0.464, 0.962, -0.587, 49.988, 45.593, 36.621, 21.303, 19.230, 18.190
314343, 1.103, -0.400, 0.250, 17.395, 30.090, 24.658, 23.555, -0.453, -0.793, 0.571, -49.744, 10.376, -13.428, 22.153, -0.293, 0.913, -0.739, 51.331, 40.588, 28.076, 21.341, 19.230, 18.170
314376, 0.912, -0.356, 0.313, 16.357, 31.677, 10.742, 23.570, -0.437, -0.729, 0.431, -39.063, 16.602, -12.634, 22.165, -0.224, 0.741, -0.792, 52.002, 77.148, -37.415, 21.341, 19.230, 18.170
314409, 0.749, -0.288, 0.312, 18.555, 26.489, -4.517, 23.573, -0.386, -0.688, 0.312, -27.527, 17.517, -15.442, 22.150, -0.152, 0.518, -0.684, 22.400, 86.914, 15.808, 21.323, 19.230, 18.170
314442, 0.726, -0.227, 0.321, 6.592, 20.691, -1.221, 23.585, -0.345, -0.616, 0.200, -12.146, 18.860, -18.982, 22.144, 0.023, 0.600, -0.574, 45.044, 149.780, 25.330, 21.362, 19.230, 18.210
314477, 0.615, -0.181, 0.347, -0.610, 19.714, -0.366, 23.564, -0.384, -0.569, 0.111, 0.854, 25.269, -16.357, 22.150, 0.257, 0.421, -0.468, 18.005, 94.177, 21.118, 21.317, 19.230, 18.210
314510, 0.422, -0.178, 0.468, -11.597, 3.113, -2.502, 23.570, -0.318, -0.484, 0.040, 15.808, 16.418, -17.151, 22.168, 0.282, 0.558, -0.445, 6.653, 23.010, 26.733, 21.344, 19.330, 18.210
314544, 0.342, -0.225, 0.282, -11.536, -12.207, -9.155, 23.567, -0.174, -0.417, 0.114, 29.175, -2.991, -20.020, 22.141, 0.219, 0.430, -0.441, -5.737, 19.104, 4.578, 21.314, 19.330, 18.190
314579, 0.454, -0.170, 0.173, -6.592, -18.860, -12.695, 23.585, -0.199, -0.357, 0.236, 42.114, -6.653, -9.766, 22.177, 0.075, 0.424, -0.349, -11.047, -14.038, -17.578, 21.317, 19.390, 18.190
314613, 0.526, -0.094, 0.189, -3.418, -25.940, -6.042, 23.552, -0.310, -0.295, 0.312, 28.198, -13.977, 11.536, 22.147, 0.085, 0.479, -0.317, -6.226, -7.019, -28.992, 21.338, 19.390, 18.190
314647, 0.606, -0.075, 0.180, -1.526, -32.471, 0.854, 23.567, -0.402, -0.358, 0.393, 15.869, -31.738, 30.334, 22.165, 0.093, 0.594, -0.294, -7.263, -2.380, -37.659, 21.323, 19.390, 18.210
314683, 0.835, -0.017, 0.124, 3.906, -35.095, 9.949, 23.543, -0.573, -0.440, 0.535, 16.541, -48.523, 33.752, 22.147, -0.032, 0.756, -0.279, 1.892, 13.000, -34.607, 21.335, 19.390, 18.210
314717, 1.021, -0.014, 0.165, -6.165, -35.156, 31.067, 23.576, -0.632, -0.542, 0.579, 17.334, -52.734, 31.494, 22.174, -0.122, 0.890, -0.432, 24.048, -5.676, -42.358, 21.359, 19.390, 18.190
314753, 1.180, -0.273, -0.042, -9.460, -30.579, 26.428, 23.576, -0.519, -0.611, 0.935, 21.667, -36.743, -37.415, 22.174, -0.363, 1.008, -0.623, 33.508, -21.301, -17.822, 21.332, 19.390, 18.190
314787, 1.598, -0.261, -0.011, -15.259, -13.794, 31.616, 23.570, -0.629, -0.773, 1.074, 5.005, -23.987, -19.836, 22.171, -0.496, 1.296, -0.774, 41.687, -38.635, -0.244, 21.347, 19.390, 18.190
314821, 1.576, -0.464, 0.101, -37.903, 1.221, 39.490, 23.570, -0.631, -1.119, 1.014, 5.432, -13.672, 22.034, 22.156, -0.407, 1.157, -1.013, 57.983, -68.726, 3.540, 21.326, 19.390, 18.210
314857, 1.582, -0.910, 0.075, -38.818, 23.560, 37.354, 23.564, -0.371, -1.132, 1.050, 33.264, 20.630, -43.274, 22.162, -0.451, 1.165, -1.482, 67.688, -29.602, 16.052, 21.326, 19.390, 18.210
314891, 1.345, -0.973, 0.095, -23.987, 38.818, -8.423, 23.558, -0.168, -0.946, 0.936, 67.993, 55.908, -69.275, 22.159, -0.453, 0.951, -1.433, 9.827, -8.911, 32.593, 21.314, 19.330, 18.210
