millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
80594, 0.753, 0.348, 0.661, -11.536, -10.315, -1.831, 24.780, -0.392, -0.924, 0.014, 16.174, 8.179, -3.967, 21.689, -0.162, 0.924, -0.423, 15.869, -3.601, -7.996, 19.928, 25.990, 19.850
80629, 0.786, 0.336, 0.666, -12.268, -9.399, 0.427, 24.792, -0.390, -0.947, 0.036, 19.226, 7.263, -4.883, 21.692, -0.213, 0.904, -0.450, 15.991, -2.930, -8.789, 19.937, 25.990, 19.850
80662, 0.781, 0.292, 0.662, -13.306, -6.226, -0.183, 24.789, -0.348, -0.923, 0.052, 19.104, 9.216, -8.728, 21.689, -0.229, 0.903, -0.473, 15.076, -0.427, -1.343, 19.958, 25.970, 19.850
80695, 0.781, 0.265, 0.651, -12.024, -4.272, -1.404, 24.813, -0.394, -0.920, 0.086, 16.968, 11.475, -3.906, 21.689, -0.214, 0.899, -0.468, 13.611, -7.141, 7.141, 19.931, 25.970, 19.830
80730, 0.761, 0.264, 0.667, -8.728, -3.174, -2.869, 24.810, -0.330, -0.915, 0.067, 5.249, 7.874, -3.967, 21.695, -0.184, 0.893, -0.483, 11.658, -6.592, 3.723, 19.934, 25.970, 19.830
80762, 0.750, 0.272, 0.670, -6.958, -4.639, -2.747, 24.804, -0.320, -0.924, 0.037, 7.263, 5.981, -1.465, 21.692, -0.189, 0.889, -0.484, 12.268, -4.944, 2.441, 19.943, 25.910, 19.830
80794, 0.737, 0.275, 0.678, -6.165, -5.310, -3.784, 24.792, -0.323, -0.920, 0.018, 9.644, 6.104, -0.244, 21.689, -0.182, 0.872, -0.496, 12.817, -7.446, 6.470, 19.925, 25.910, 19.850
80828, 0.744, 0.280, 0.658, -5.859, -6.897, -4.211, 24.792, -0.331, -0.907, 0.046, 12.146, 7.263, 1.221, 21.683, -0.171, 0.885, -0.460, 11.902, -7.141, 11.353, 19.919, 25.910, 19.850
80860, 0.753, 0.276, 0.653, -4.211, -7.751, -4.578, 24.813, -0.334, -0.913, 0.057, 8.240, 6.592, 2.625, 21.689, -0.154, 0.886, -0.480, 13.245, -10.193, 10.376, 19.919, 25.930, 19.850
80892, 0.754, 0.292, 0.644, -3.296, -7.996, -4.089, 24.774, -0.346, -0.905, 0.053, 10.071, 5.859, 3.845, 21.689, -0.170, 0.890, -0.468, 3.479, -2.014, -3.113, 19.913, 25.930, 19.870
80926, 0.760, 0.299, 0.642, -2.197, -7.080, -4.089, 24.792, -0.366, -0.906, 0.064, 9.644, 4.395, 4.089, 21.686, -0.168, 0.892, -0.459, 2.441, -5.249, 3.357, 19.934, 25.930, 19.870
80958, 0.755, 0.312, 0.643, -1.465, -6.592, -2.380, 24.816, -0.365, -0.909, 0.051, 8.789, 2.991, 4.028, 21.689, -0.152, 0.895, -0.448, 4.150, -5.493, 3.052, 19.958, 25.870, 19.870
80990, 0.755, 0.318, 0.654, -1.221, -6.592, -1.160, 24.795, -0.365, -0.925, 0.039, 9.949, 2.380, 3.479, 21.692, -0.158, 0.912, -0.452, 1.221, -0.732, -5.615, 19.958, 25.870, 19.850
81024, 0.771, 0.325, 0.641, -1.465, -7.080, -0.305, 24.822, -0.373, -0.917, 0.063, 15.442, 3.967, 3.723, 21.683, -0.151, 0.905, -0.440, -1.587, -1.465, -11.108, 19.931, 25.870, 19.850
81056, 0.785, 0.317, 0.632, -1.404, -4.944, 0.122, 24.798, -0.390, -0.908, 0.089, 12.207, 2.136, 0.244, 21.677, -0.216, 0.908, -0.431, -0.061, 9.338, -17.517, 19.934, 25.850, 19.850
81090, 0.810, 0.330, 0.620, -1.953, -3.357, 1.343, 24.798, -0.396, -0.925, 0.108, 5.676, 1.770, -1.343, 21.689, -0.244, 0.917, -0.411, 5.676, 2.502, -3.723, 19.919, 25.850, 19.870
81122, 0.816, 0.317, 0.622, -2.625, -1.831, 1.770, 24.810, -0.386, -0.926, 0.104, 3.967, 1.282, -1.587, 21.698, -0.235, 0.919, -0.429, 9.827, 1.648, 0.305, 19.925, 25.850, 19.870
81154, 0.809, 0.314, 0.627, -3.296, -0.488, 2.258, 24.801, -0.383, -0.933, 0.094, 5.615, 0.977, -1.770, 21.704, -0.206, 0.920, -0.435, 9.216, 0.977, -0.427, 19.937, 25.850, 19.870
81188, 0.807, 0.305, 0.617, -3.357, 0.488, 1.709, 24.828, -0.380, -0.914, 0.112, 7.202, 1.160, -2.563, 21.686, -0.227, 0.915, -0.441, 7.751, 5.737, -6.470, 19.928, 25.850, 19.870
81220, 0.806, 0.295, 0.624, -2.380, 1.648, 1.221, 24.801, -0.372, -0.915, 0.113, 1.465, 0.977, -2.197, 21.701, -0.231, 0.912, -0.453, 7.080, 4.883, -2.075, 19.949, 25.850, 19.870
81252, 0.798, 0.304, 0.629, -1.770, 2.136, 1.038, 24.798, -0.373, -0.920, 0.094, 1.343, 1.404, -1.587, 21.689, -0.218, 0.907, -0.431, 6.348, 3.174, -0.671, 19.955, 25.850, 19.870
81286, 0.801, 0.304, 0.627, -1.587, 2.563, 0.427, 24.798, -0.372, -0.920, 0.099, 2.930, 2.075, -1.526, 21.713, -0.227, 0.910, -0.440, 8.057, 4.639, 0.244, 19.928, 25.850, 19.830
